# RustScan 网络扫描报告
# 扫描时间: 2025-10-10 14:26:08
# 扫描端口: 21,22,23,80,443,445,873,1433,1521,1883,2181,2375,3306,3389,5236,5432,5672,5900,5901,5902,5903,5904,5905,6379,7001,8080,8081,8082,8088,11211,8161,8443,8848,8888,9200,15672,27017,54321,61616

10.0.30.100  [8080, 8081, 8443]
10.0.30.105  [80]
10.0.30.106  [443]
10.0.30.107  [80, 443, 8443]
10.0.30.108  [8081]
10.0.30.117  [8080, 8081, 8082]
10.0.30.134  [80, 443]
10.0.30.136  [8080]
10.0.30.137  [80, 443]
10.0.30.142  [80]
10.0.30.143  [80]
10.0.30.149  [80, 443]
10.0.30.151  [443]
10.0.30.152  [80, 443, 445, 8081, 8082]
10.0.30.153  [80, 445]
10.0.30.155  [80, 443]
10.0.30.16  [443]
10.0.30.163  [80, 443, 3389]
10.0.30.164  [80, 443, 3389]
10.0.30.166  [80, 443]
10.0.30.168  [80, 8081]
10.0.30.17  [80, 443, 8443]
10.0.30.172  [80, 443]
10.0.30.173  [445]
10.0.30.18  [8443]
10.0.30.189  [80, 443]
10.0.30.193  [445]
10.0.30.194  [80]
10.0.30.200  [8080]
10.0.30.201  [80, 443]
10.0.30.205  [443]
10.0.30.208  [8080]
10.0.30.209  [8080]
10.0.30.226  [445, 8081]
10.0.30.227  [445, 8081]
10.0.30.228  [445, 5236, 8080, 11211]
10.0.30.231  [445, 5236, 8080, 11211]
10.0.30.232  [5236, 8080]
10.0.30.233  [445, 5236, 8080, 11211]
10.0.30.234  [8080]
10.0.30.235  [445, 5236, 8080, 11211]
10.0.30.31  [80]
10.0.30.35  [443]
10.0.30.39  [80]
10.0.30.43  [80, 445, 8080]
10.0.30.44  [80]
10.0.30.46  [443]
10.0.30.48  [8080, 8082]
10.0.30.49  [445, 8080]
10.0.30.54  [80, 8088]
10.0.30.55  [80, 8080]
10.0.30.56  [80]
10.0.30.57  [80, 443]
10.0.30.71  [80, 443]
10.0.30.75  [445]
10.0.30.77  [80]
10.0.30.84  [80]
10.0.30.88  [80, 443]
10.0.30.95  [80, 443]
10.0.30.97  [80, 445]
10.0.9.10  [80, 443]
10.0.12.22  [80, 443]
10.0.12.23  [443, 8080, 8443]
10.0.10.10  [445]
10.0.10.11  [445]
10.0.0.109  [443]
10.0.0.11  [80, 443]
10.0.0.111  [443]
10.0.0.12  [80, 443]
10.0.0.13  [80, 443, 8443]
10.0.0.133  [8080]
10.0.0.15  [80, 443]
10.0.0.156  [23]
10.0.0.16  [80, 443]
10.0.0.24  [80]
10.0.0.247  [80]
10.0.0.56  [443]
10.0.0.58  [80, 443]
10.0.31.103  [80, 443, 8443]
10.0.31.104  [80, 443, 8443]
10.0.31.111  [443]
10.0.31.113  [445]
10.0.31.114  [80, 445]
10.0.31.115  [80, 445]
10.0.31.116  [80, 445]
10.0.31.119  [445, 8081]
10.0.31.120  [80, 445]
10.0.31.121  [445]
10.0.31.124  [445, 8080, 8443]
10.0.31.125  [445]
10.0.31.127  [445, 8080, 8081, 8443]
10.0.31.131  [80, 443, 445]
10.0.31.132  [80, 443, 445]
10.0.31.133  [80, 443, 445]
10.0.31.134  [80, 443]
10.0.31.135  [80, 443]
10.0.31.136  [80, 443]
10.0.31.137  [80, 443]
10.0.31.138  [80, 443]
10.0.31.139  [80, 443]
10.0.31.151  [445, 5236, 8080]
10.0.31.152  [5236, 8080]
10.0.31.153  [445, 5236, 8080, 11211]
10.0.31.154  [445]
10.0.31.155  [445, 5236, 8080, 11211]
10.0.31.156  [445, 8080, 11211]
10.0.31.157  [5236, 8080]
10.0.31.158  [445, 8080]
10.0.31.159  [5236, 8080]
10.0.31.160  [445, 5236, 8080]
10.0.31.163  [80, 443]
10.0.31.165  [80]
10.0.31.167  [8081]
10.0.31.169  [445]
10.0.31.172  [443]
10.0.31.176  [8443]
10.0.31.177  [80, 443, 445]
10.0.31.178  [445]
10.0.31.182  [80, 443, 8080]
10.0.31.183  [8080]
10.0.31.187  [445, 8443]
10.0.31.197  [445, 8081]
10.0.31.198  [445]
10.0.31.217  [80, 443]
10.0.31.218  [80, 443]
10.0.31.22  [445]
10.0.31.221  [80, 443]
10.0.31.222  [80, 443, 445]
10.0.31.226  [80, 443]
10.0.31.23  [445]
10.0.31.231  [80, 443, 8081, 8082]
10.0.31.232  [443]
10.0.31.245  [80, 443, 445]
